9,20,35,33,29,7,4,4
4,6,40,15,23,3,2,2
13,3,27,23,20,3,6,2
3,2,11,31,11,4,3,2
6,2,14,20,15,4,3,2
3,2,8,41,14,5,2,3
30,58,47,82,16,3,1,5
28,63,86,128,74,3,4,13
19,44,128,128,66,2,1,15
19,36,105,128,80,5,1,20
12,36,73,128,63,4,2,22
17,38,83,128,53,4,2,16
14,38,64,128,90,3,1,19
16,37,72,128,128,4,1,24
11,41,102,128,101,5,1,10
13,34,106,128,63,4,0,8
12,28,128,120,47,3,0,6
13,53,128,49,25,3,0,9
9,48,77,18,16,2,0,2
15,55,46,10,5,2,0,1
8,38,14,10,3,2,0,0
13,20,4,4,1,1,0,0
11,22,2,1,1,0,0,0
12,13,4,5,0,0,0,0
2,3,2,3,1,0,0,0
3,2,2,3,1,0,0,0
2,1,3,5,1,0,0,0
3,1,1,1,1,1,0,0
2,2,2,2,1,1,0,0
2,1,3,2,0,2,0,0
3,8,27,20,18,3,1,2
4,5,16,4,17,2,1,2
4,2,13,7,12,1,1,1
3,4,7,10,9,5,2,1
3,1,8,21,6,3,3,1
13,18,8,24,13,2,4,1
25,42,61,128,47,5,2,8
21,48,128,128,128,5,2,22
15,37,109,128,128,6,1,24
15,32,100,128,112,9,1,21
13,45,119,128,117,13,1,22
14,38,128,128,128,6,1,25
20,30,120,128,128,12,1,26
14,37,128,128,128,11,1,25
14,32,122,128,128,8,0,19
12,30,124,128,94,10,0,15
15,47,128,128,66,7,1,8
14,38,128,112,94,7,0,11
15,37,128,52,24,3,0,8
12,51,128,33,17,4,0,6
13,37,58,13,7,2,0,2
11,31,33,9,3,1,0,1
13,23,21,5,2,0,0,0
10,20,4,2,1,0,0,0
12,22,3,2,2,0,0,0
4,5,2,4,1,0,0,0
1,2,2,4,2,0,0,0
0,2,2,3,0,0,0,0
2,1,2,2,2,0,0,0
1,1,1,3,2,0,0,0
9,8,13,22,15,2,2,1
3,7,13,7,31,1,1,3
5,3,7,10,13,2,1,1
4,2,10,20,9,3,2,1
2,1,2,14,12,3,2,1
2,10,9,18,9,1,2,1
22,35,90,128,87,4,1,12
12,28,95,128,128,2,1,21
12,42,127,128,110,4,0,22
13,38,121,128,128,7,0,18
17,30,93,128,128,11,0,21
13,46,128,128,128,18,1,22
17,40,125,128,104,16,1,26
18,38,86,128,128,21,1,23
18,47,105,128,128,23,1,21
17,52,128,128,124,16,1,18
18,39,94,128,128,19,0,14
19,39,116,128,106,14,0,11
15,45,128,128,87,11,0,10
15,46,128,36,40,9,0,8
15,29,128,9,15,3,0,8
13,51,81,6,13,4,0,2
14,34,67,7,6,1,0,2
12,18,49,4,3,1,0,1
11,15,16,5,3,0,0,0
10,19,8,5,3,0,0,0
8,14,4,2,1,0,0,0
7,11,3,3,2,0,0,0
2,3,1,2,1,0,0,0
2,2,1,4,2,0,0,0
7,9,13,11,9,2,0,1
5,10,39,9,33,2,2,4
3,3,7,7,14,1,0,1
